year,state,month,number,date
2012,Amazonas,April,6,1/1/2012
2013,Amazonas,April,37,1/1/2013
2014,Amazonas,April,46,1/1/2014
2015,Amazonas,April,35,1/1/2015
2016,Amazonas,April,770,1/1/2016
2017,Amazonas,April,65,1/1/2017
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,43,1/1/1999
2000,Amazonas,April,62,1/1/2000
2001,Amazonas,April,8,1/1/2001
2002,Amazonas,April,2,1/1/2002
2003,Amazonas,April,62,1/1/2003
2004,Amazonas,April,92,1/1/2004
2005,Amazonas,April,6,1/1/2005
2006,Amazonas,April,10,1/1/2006
2007,Amazonas,April,92,1/1/2007
2008,Amazonas,April,32,1/1/2008
2009,Amazonas,April,3,1/1/2009
2010,Amazonas,April,81,1/1/2010
2011,Amazonas,April,30,1/1/2011
2012,Amazonas,April,25,1/1/2012
2013,Amazonas,April,16,1/1/2013
2014,Amazonas,April,49,1/1/2014
2015,Amazonas,April,107,1/1/2015
2016,Amazonas,April,275,1/1/2016
2017,Amazonas,April,52,1/1/2017
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,7,1/1/1999
2000,Amazonas,April,69,1/1/2000
2001,Amazonas,April,6,1/1/2001
2002,Amazonas,April,5,1/1/2002
2003,Amazonas,April,64,1/1/2003
2004,Amazonas,April,6,1/1/2004
2005,Amazonas,April,12,1/1/2005
2006,Amazonas,April,20,1/1/2006
2007,Amazonas,April,6,1/1/2007
2008,Amazonas,April,10,1/1/2008
2009,Amazonas,April,11,1/1/2009
2010,Amazonas,April,116,1/1/2010
2011,Amazonas,April,49,1/1/2011
2012,Amazonas,April,17,1/1/2012
2013,Amazonas,April,49,1/1/2013
2014,Amazonas,April,50,1/1/2014
2015,Amazonas,April,46,1/1/2015
2016,Amazonas,April,140,1/1/2016
2017,Amazonas,April,45,1/1/2017
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,2,1/1/1999
2000,Amazonas,April,18,1/1/2000
2001,Amazonas,April,1,1/1/2001
2002,Amazonas,April,2,1/1/2002
2003,Amazonas,April,11,1/1/2003
2004,Amazonas,April,4,1/1/2004
2005,Amazonas,April,5,1/1/2005
2006,Amazonas,April,5,1/1/2006
2007,Amazonas,April,0,1/1/2007
2008,Amazonas,April,13,1/1/2008
2009,Amazonas,April,1,1/1/2009
2010,Amazonas,April,11,1/1/2010
2011,Amazonas,April,5,1/1/2011
2012,Amazonas,April,3,1/1/2012
2013,Amazonas,April,20,1/1/2013
2014,Amazonas,April,25,1/1/2014
2015,Amazonas,April,24,1/1/2015
2016,Amazonas,April,22,1/1/2016
2017,Amazonas,April,20,1/1/2017
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,0,1/1/1999
2000,Amazonas,April,51,1/1/2000
2001,Amazonas,April,0,1/1/2001
2002,Amazonas,April,8,1/1/2002
2003,Amazonas,April,2,1/1/2003
2004,Amazonas,April,0,1/1/2004
2005,Amazonas,April,8,1/1/2005
2006,Amazonas,April,4,1/1/2006
2007,Amazonas,April,0,1/1/2007
2008,Amazonas,April,1,1/1/2008
2009,Amazonas,April,3,1/1/2009
2010,Amazonas,April,13,1/1/2010
2011,Amazonas,April,6,1/1/2011
2012,Amazonas,April,12,1/1/2012
2013,Amazonas,April,19,1/1/2013
2014,Amazonas,April,12,1/1/2014
2015,Amazonas,April,10,1/1/2015
2016,Amazonas,April,30,1/1/2016
2017,Amazonas,April,40,1/1/2017
1998,Amazonas,April,2,1/1/1998
1999,Amazonas,April,7,1/1/1999
2000,Amazonas,April,6,1/1/2000
2001,Amazonas,April,5,1/1/2001
2002,Amazonas,April,5,1/1/2002
2003,Amazonas,April,3,1/1/2003
2004,Amazonas,April,12,1/1/2004
2005,Amazonas,April,78,1/1/2005
2006,Amazonas,April,9,1/1/2006
2007,Amazonas,April,23,1/1/2007
2008,Amazonas,April,7,1/1/2008
2009,Amazonas,April,13,1/1/2009
2010,Amazonas,April,9,1/1/2010
2011,Amazonas,April,22,1/1/2011
2012,Amazonas,April,45,1/1/2012
2013,Amazonas,April,56,1/1/2013
2014,Amazonas,April,74,1/1/2014
2015,Amazonas,April,33,1/1/2015
2016,Amazonas,April,90,1/1/2016
2017,Amazonas,April,119,1/1/2017
1998,Amazonas,April,71,1/1/1998
1999,Amazonas,April,11,1/1/1999
2000,Amazonas,April,39,1/1/2000
2001,Amazonas,April,9,1/1/2001
2002,Amazonas,April,146,1/1/2002
2003,Amazonas,April,180,1/1/2003
2004,Amazonas,April,177,1/1/2004
2005,Amazonas,April,676,1/1/2005
2006,Amazonas,April,123,1/1/2006
2007,Amazonas,April,116,1/1/2007
2008,Amazonas,April,108,1/1/2008
2009,Amazonas,April,199,1/1/2009
2010,Amazonas,April,640,1/1/2010
2011,Amazonas,April,271,1/1/2011
2012,Amazonas,April,234,1/1/2012
2013,Amazonas,April,248,1/1/2013
2014,Amazonas,April,202,1/1/2014
2015,Amazonas,April,356,1/1/2015
2016,Amazonas,April,1.137,1/1/2016
2017,Amazonas,April,1.975,1/1/2017
1998,Amazonas,April,321,1/1/1998
1999,Amazonas,April,259,1/1/1999
2000,Amazonas,April,180,1/1/2000
2001,Amazonas,April,501,1/1/2001
2002,Amazonas,April,741,1/1/2002
2003,Amazonas,April,1.867,1/1/2003
2004,Amazonas,April,1.207,1/1/2004
2005,Amazonas,April,2.316,1/1/2005
2006,Amazonas,April,1.422,1/1/2006
2007,Amazonas,April,2.241,1/1/2007
2008,Amazonas,April,861,1/1/2008
2009,Amazonas,April,1.321,1/1/2009
2010,Amazonas,April,3.727,1/1/2010
2011,Amazonas,April,1.243,1/1/2011
2012,Amazonas,April,3.011,1/1/2012
2013,Amazonas,April,1.276,1/1/2013
2014,Amazonas,April,3.852,1/1/2014
2015,Amazonas,April,4.564,1/1/2015
2016,Amazonas,April,3.611,1/1/2016
2017,Amazonas,April,6.316,1/1/2017
1998,Amazonas,April,267,1/1/1998
1999,Amazonas,April,216,1/1/1999
2000,Amazonas,April,189,1/1/2000
2001,Amazonas,April,166,1/1/2001
2002,Amazonas,April,928,1/1/2002
2003,Amazonas,April,1.401,1/1/2003
2004,Amazonas,April,911,1/1/2004
2005,Amazonas,April,2.812,1/1/2005
2006,Amazonas,April,2.218,1/1/2006
2007,Amazonas,April,1.36,1/1/2007
2008,Amazonas,April,998,1/1/2008
2009,Amazonas,April,3.091,1/1/2009
2010,Amazonas,April,2.781,1/1/2010
2011,Amazonas,April,1.295,1/1/2011
2012,Amazonas,April,2.392,1/1/2012
2013,Amazonas,April,1.739,1/1/2013
2014,Amazonas,April,3.057,1/1/2014
2015,Amazonas,April,5.882,1/1/2015
2016,Amazonas,April,3.119,1/1/2016
2017,Amazonas,April,4.033,1/1/2017
1998,Amazonas,April,83,1/1/1998
1999,Amazonas,April,479,1/1/1999
2000,Amazonas,April,145,1/1/2000
2001,Amazonas,April,332,1/1/2001
2002,Amazonas,April,695,1/1/2002
2003,Amazonas,April,725,1/1/2003
2004,Amazonas,April,710,1/1/2004
2005,Amazonas,April,545,1/1/2005
2006,Amazonas,April,721,1/1/2006
2007,Amazonas,April,215,1/1/2007
2008,Amazonas,April,632,1/1/2008
2009,Amazonas,April,2.189,1/1/2009
2010,Amazonas,April,889,1/1/2010
2011,Amazonas,April,694,1/1/2011
2012,Amazonas,April,1.238,1/1/2012
2013,Amazonas,April,1.202,1/1/2013
2014,Amazonas,April,952,1/1/2014
2015,Amazonas,April,2.494,1/1/2015
2016,Amazonas,April,2.105,1/1/2016
2017,Amazonas,April,1.581,1/1/2017
1998,Amazonas,April,6,1/1/1998
1999,Amazonas,April,32,1/1/1999
2000,Amazonas,April,27,1/1/2000
2001,Amazonas,April,244,1/1/2001
2002,Amazonas,April,259,1/1/2002
2003,Amazonas,April,169,1/1/2003
2004,Amazonas,April,209,1/1/2004
2005,Amazonas,April,261,1/1/2005
2006,Amazonas,April,59,1/1/2006
2007,Amazonas,April,90,1/1/2007
2008,Amazonas,April,39,1/1/2008
2009,Amazonas,April,973,1/1/2009
2010,Amazonas,April,354,1/1/2010
2011,Amazonas,April,399,1/1/2011
2012,Amazonas,April,682,1/1/2012
2013,Amazonas,April,220,1/1/2013
2014,Amazonas,April,676,1/1/2014
2015,Amazonas,April,1.054,1/1/2015
2016,Amazonas,April,591,1/1/2016
2017,Amazonas,April,552,1/1/2017
1998,Amazonas,April,196,1/1/1998
1999,Amazonas,April,2,1/1/1999
2000,Amazonas,April,60,1/1/2000
2001,Amazonas,April,22,1/1/2001
2002,Amazonas,April,44,1/1/2002
2003,Amazonas,April,147,1/1/2003
2004,Amazonas,April,53,1/1/2004
2005,Amazonas,April,17,1/1/2005
2006,Amazonas,April,23,1/1/2006
2007,Amazonas,April,7,1/1/2007
2008,Amazonas,April,0,1/1/2008
2009,Amazonas,April,102,1/1/2009
2010,Amazonas,April,123,1/1/2010
2011,Amazonas,April,121,1/1/2011
2012,Amazonas,April,80,1/1/2012
2013,Amazonas,April,236,1/1/2013
2014,Amazonas,April,293,1/1/2014
2015,Amazonas,April,565,1/1/2015
2016,Amazonas,April,133,1/1/2016
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,114,1/1/1999
2000,Bahia,April,31,1/1/2000
2001,Bahia,April,24,1/1/2001
2002,Bahia,April,125,1/1/2002
2003,Bahia,April,439,1/1/2003
2004,Bahia,April,158,1/1/2004
2005,Bahia,April,303,1/1/2005
2006,Bahia,April,225,1/1/2006
2007,Bahia,April,373,1/1/2007
2008,Bahia,April,314,1/1/2008
2009,Bahia,April,177,1/1/2009
2010,Bahia,April,297,1/1/2010
2011,Bahia,April,101,1/1/2011
2012,Bahia,April,179,1/1/2012
2013,Bahia,April,125,1/1/2013
2014,Bahia,April,132,1/1/2014
2015,Bahia,April,256,1/1/2015
2016,Bahia,April,285,1/1/2016
2017,Bahia,April,154,1/1/2017
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,157,1/1/1999
2000,Bahia,April,32,1/1/2000
2001,Bahia,April,101,1/1/2001
2002,Bahia,April,204,1/1/2002
2003,Bahia,April,223,1/1/2003
2004,Bahia,April,122,1/1/2004
2005,Bahia,April,143,1/1/2005
2006,Bahia,April,277,1/1/2006
2007,Bahia,April,113,1/1/2007
2008,Bahia,April,235,1/1/2008
2009,Bahia,April,117,1/1/2009
2010,Bahia,April,206,1/1/2010
2011,Bahia,April,156,1/1/2011
2012,Bahia,April,200,1/1/2012
2013,Bahia,April,231,1/1/2013
2014,Bahia,April,107,1/1/2014
2015,Bahia,April,143,1/1/2015
2016,Bahia,April,418,1/1/2016
2017,Bahia,April,100,1/1/2017
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,83,1/1/1999
2000,Bahia,April,65,1/1/2000
2001,Bahia,April,4,1/1/2001
2002,Bahia,April,146,1/1/2002
2003,Bahia,April,274,1/1/2003
2004,Bahia,April,115,1/1/2004
2005,Bahia,April,158,1/1/2005
2006,Bahia,April,199,1/1/2006
2007,Bahia,April,141,1/1/2007
2008,Bahia,April,135,1/1/2008
2009,Bahia,April,249,1/1/2009
2010,Bahia,April,156,1/1/2010
2011,Bahia,April,90,1/1/2011
2012,Bahia,April,404,1/1/2012
2013,Bahia,April,363,1/1/2013
2014,Bahia,April,148,1/1/2014
2015,Bahia,April,229,1/1/2015
2016,Bahia,April,281,1/1/2016
2017,Bahia,April,163,1/1/2017
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,55,1/1/1999
2000,Bahia,April,23,1/1/2000
2001,Bahia,April,26,1/1/2001
2002,Bahia,April,110,1/1/2002
2003,Bahia,April,376,1/1/2003
2004,Bahia,April,89,1/1/2004
2005,Bahia,April,76,1/1/2005
2006,Bahia,April,60,1/1/2006
2007,Bahia,April,64,1/1/2007
2008,Bahia,April,151,1/1/2008
2009,Bahia,April,40,1/1/2009
2010,Bahia,April,103,1/1/2010
2011,Bahia,April,149,1/1/2011
2012,Bahia,April,396,1/1/2012
2013,Bahia,April,108,1/1/2013
2014,Bahia,April,183,1/1/2014
2015,Bahia,April,190,1/1/2015
2016,Bahia,April,217,1/1/2016
2017,Bahia,April,94,1/1/2017
1998,Bahia,April,0,1/1/1998
1999,Bahia,April,76,1/1/1999
2000,Bahia,April,71,1/1/2000
2001,Bahia,April,85,1/1/2001
2002,Bahia,April,166,1/1/2002
2003,Bahia,April,106,1/1/2003
2004,Bahia,April,124,1/1/2004
2005,Bahia,April,120,1/1/2005
2006,Bahia,April,43,1/1/2006
2007,Bahia,April,161,1/1/2007
2008,Bahia,April,56,1/1/2008
2009,Bahia,April,34,1/1/2009
2010,Bahia,April,198,1/1/2010
2011,Bahia,April,189,1/1/2011
2012,Bahia,April,326,1/1/2012
2013,Bahia,April,141,1/1/2013
2014,Bahia,April,224,1/1/2014
2015,Bahia,April,144,1/1/2015
2016,Bahia,April,259,1/1/2016
2017,Bahia,April,121,1/1/2017
1998,Bahia,April,55,1/1/1998
1999,Bahia,April,64,1/1/1999
2000,Bahia,April,178,1/1/2000
2001,Bahia,April,98,1/1/2001
2002,Bahia,April,118,1/1/2002
2003,Bahia,April,140,1/1/2003
2004,Bahia,April,289,1/1/2004
2005,Bahia,April,211,1/1/2005
2006,Bahia,April,68,1/1/2006
2007,Bahia,April,270,1/1/2007
2008,Bahia,April,72,1/1/2008
2009,Bahia,April,92,1/1/2009
2010,Bahia,April,192,1/1/2010
2011,Bahia,April,345,1/1/2011
2012,Bahia,April,385,1/1/2012
2013,Bahia,April,208,1/1/2013
2014,Bahia,April,243,1/1/2014
2015,Bahia,April,242,1/1/2015
2016,Bahia,April,416,1/1/2016
2017,Bahia,April,329,1/1/2017
1998,Bahia,April,219,1/1/1998
1999,Bahia,April,107,1/1/1999
2000,Bahia,April,202,1/1/2000
2001,Bahia,April,248,1/1/2001
2002,Bahia,April,549,1/1/2002
2003,Bahia,April,261,1/1/2003
2004,Bahia,April,310,1/1/2004
2005,Bahia,April,269,1/1/2005
2006,Bahia,April,229,1/1/2006
2007,Bahia,April,811,1/1/2007
2008,Bahia,April,271,1/1/2008
2009,Bahia,April,321,1/1/2009
2010,Bahia,April,519,1/1/2010
2011,Bahia,April,578,1/1/2011
2012,Bahia,April,906,1/1/2012
2013,Bahia,April,362,1/1/2013
2014,Bahia,April,249,1/1/2014
2015,Bahia,April,306,1/1/2015
2016,Bahia,April,345,1/1/2016
2017,Bahia,April,300,1/1/2017
1998,Bahia,April,815,1/1/1998
1999,Bahia,April,453,1/1/1999
2000,Bahia,April,633,1/1/2000
2001,Bahia,April,979,1/1/2001
2002,Bahia,April,1.827,1/1/2002
2003,Bahia,April,1.039,1/1/2003
2004,Bahia,April,1.43,1/1/2004
2005,Bahia,April,948,1/1/2005
2006,Bahia,April,995,1/1/2006
2007,Bahia,April,3.734,1/1/2007
2008,Bahia,April,611,1/1/2008
2009,Bahia,April,439,1/1/2009
2010,Bahia,April,2.423,1/1/2010
2011,Bahia,April,1.795,1/1/2011
2012,Bahia,April,1.835,1/1/2012
2013,Bahia,April,610,1/1/2013
2014,Bahia,April,674,1/1/2014
2015,Bahia,April,829,1/1/2015
2016,Bahia,April,724,1/1/2016
2017,Bahia,April,1.018,1/1/2017
1998,Bahia,April,2.718,1/1/1998
1999,Bahia,April,1.275,1/1/1999
2000,Bahia,April,2.285,1/1/2000
2001,Bahia,April,3.964,1/1/2001
2002,Bahia,April,6.439,1/1/2002
2003,Bahia,April,8.847,1/1/2003
2004,Bahia,April,6.433,1/1/2004
2005,Bahia,April,4.066,1/1/2005
2006,Bahia,April,3.006,1/1/2006
2007,Bahia,April,7.438,1/1/2007
2008,Bahia,April,4.837,1/1/2008
2009,Bahia,April,3.61,1/1/2009
2010,Bahia,April,5.323,1/1/2010
2011,Bahia,April,7.086,1/1/2011
2012,Bahia,April,7.495,1/1/2012
2013,Bahia,April,2.681,1/1/2013
2014,Bahia,April,2.604,1/1/2014
2015,Bahia,April,7.956,1/1/2015
2016,Bahia,April,1.819,1/1/2016
2017,Bahia,April,1.791,1/1/2017
1998,Bahia,April,1.969,1/1/1998
1999,Bahia,April,1.307,1/1/1999
2000,Bahia,April,3.35,1/1/2000
2001,Bahia,April,1.687,1/1/2001
2002,Bahia,April,5.414,1/1/2002
2003,Bahia,April,4.264,1/1/2003
2004,Bahia,April,4.81,1/1/2004
2005,Bahia,April,8.405,1/1/2005
2006,Bahia,April,2.079,1/1/2006
2007,Bahia,April,4.981,1/1/2007
2008,Bahia,April,7.691,1/1/2008
2009,Bahia,April,2.552,1/1/2009
2010,Bahia,April,5.264,1/1/2010
2011,Bahia,April,2.166,1/1/2011
2012,Bahia,April,4.607,1/1/2012
2013,Bahia,April,1.969,1/1/2013
2014,Bahia,April,2.763,1/1/2014
2015,Bahia,April,4.989,1/1/2015
2016,Bahia,April,1.415,1/1/2016
2017,Bahia,April,4.005,1/1/2017
1998,Bahia,April,49,1/1/1998
1999,Bahia,April,49,1/1/1999
2000,Bahia,April,114,1/1/2000
2001,Bahia,April,699,1/1/2001
2002,Bahia,April,1.02,1/1/2002
2003,Bahia,April,533,1/1/2003
2004,Bahia,April,1.736,1/1/2004
2005,Bahia,April,1.595,1/1/2005
2006,Bahia,April,239,1/1/2006
2007,Bahia,April,2.126,1/1/2007
2008,Bahia,April,3.175,1/1/2008
2009,Bahia,April,402,1/1/2009
2010,Bahia,April,605,1/1/2010
2011,Bahia,April,176,1/1/2011
2012,Bahia,April,168,1/1/2012
2013,Bahia,April,288,1/1/2013
2014,Bahia,April,348,1/1/2014
2015,Bahia,April,1.705,1/1/2015
2016,Bahia,April,408,1/1/2016
2017,Bahia,April,174,1/1/2017
1998,Bahia,April,82,1/1/1998
1999,Bahia,April,37,1/1/1999
2000,Bahia,April,24,1/1/2000
2001,Bahia,April,158,1/1/2001
2002,Bahia,April,848,1/1/2002
2003,Bahia,April,710,1/1/2003
2004,Bahia,April,423,1/1/2004
2005,Bahia,April,116,1/1/2005
2006,Bahia,April,169,1/1/2006
2007,Bahia,April,259,1/1/2007
2008,Bahia,April,52,1/1/2008
2009,Bahia,April,308,1/1/2009
2010,Bahia,April,226,1/1/2010
2011,Bahia,April,230,1/1/2011
2012,Bahia,April,477,1/1/2012
2013,Bahia,April,131,1/1/2013
2014,Bahia,April,144,1/1/2014
2015,Bahia,April,1.408,1/1/2015
2016,Bahia,April,164,1/1/2016
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,47,1/1/1999
2000,Ceara,April,1,1/1/2000
2001,Ceara,April,11,1/1/2001
2002,Ceara,April,33,1/1/2002
2003,Ceara,April,264,1/1/2003
2004,Ceara,April,143,1/1/2004
2005,Ceara,April,384,1/1/2005
2006,Ceara,April,211,1/1/2006
2007,Ceara,April,304,1/1/2007
2008,Ceara,April,166,1/1/2008
2009,Ceara,April,347,1/1/2009
2010,Ceara,April,288,1/1/2010
2011,Ceara,April,32,1/1/2011
2012,Ceara,April,273,1/1/2012
2013,Ceara,April,103,1/1/2013
2014,Ceara,April,115,1/1/2014
2015,Ceara,April,207,1/1/2015
2016,Ceara,April,100,1/1/2016
2017,Ceara,April,91,1/1/2017
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,16,1/1/1999
2000,Ceara,April,6,1/1/2000
2001,Ceara,April,0,1/1/2001
2002,Ceara,April,75,1/1/2002
2003,Ceara,April,9,1/1/2003
2004,Ceara,April,5,1/1/2004
2005,Ceara,April,25,1/1/2005
2006,Ceara,April,23,1/1/2006
2007,Ceara,April,3,1/1/2007
2008,Ceara,April,12,1/1/2008
2009,Ceara,April,8,1/1/2009
2010,Ceara,April,63,1/1/2010
2011,Ceara,April,2,1/1/2011
2012,Ceara,April,41,1/1/2012
2013,Ceara,April,49,1/1/2013
2014,Ceara,April,18,1/1/2014
2015,Ceara,April,25,1/1/2015
2016,Ceara,April,13,1/1/2016
2017,Ceara,April,9,1/1/2017
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,30,1/1/1999
2000,Ceara,April,9,1/1/2000
2001,Ceara,April,0,1/1/2001
2002,Ceara,April,17,1/1/2002
2003,Ceara,April,3,1/1/2003
2004,Ceara,April,1,1/1/2004
2005,Ceara,April,5,1/1/2005
2006,Ceara,April,3,1/1/2006
2007,Ceara,April,2,1/1/2007
2008,Ceara,April,2,1/1/2008
2009,Ceara,April,3,1/1/2009
2010,Ceara,April,40,1/1/2010
2011,Ceara,April,6,1/1/2011
2012,Ceara,April,10,1/1/2012
2013,Ceara,April,17,1/1/2013
2014,Ceara,April,6,1/1/2014
2015,Ceara,April,20,1/1/2015
2016,Ceara,April,4,1/1/2016
2017,Ceara,April,4,1/1/2017
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,6,1/1/1999
2000,Ceara,April,15,1/1/2000
2001,Ceara,April,2,1/1/2001
2002,Ceara,April,5,1/1/2002
2003,Ceara,April,3,1/1/2003
2004,Ceara,April,2,1/1/2004
2005,Ceara,April,4,1/1/2005
2006,Ceara,April,1,1/1/2006
2007,Ceara,April,1,1/1/2007
2008,Ceara,April,0,1/1/2008
2009,Ceara,April,0,1/1/2009
2010,Ceara,April,7,1/1/2010
2011,Ceara,April,1,1/1/2011
2012,Ceara,April,2,1/1/2012
2013,Ceara,April,4,1/1/2013
2014,Ceara,April,4,1/1/2014
2015,Ceara,April,3,1/1/2015
2016,Ceara,April,10,1/1/2016
2017,Ceara,April,6,1/1/2017
1998,Ceara,April,0,1/1/1998
1999,Ceara,April,5,1/1/1999
2000,Ceara,April,7,1/1/2000
2001,Ceara,April,81,1/1/2001
2002,Ceara,April,10,1/1/2002
2003,Ceara,April,0,1/1/2003
2004,Ceara,April,3,1/1/2004
2005,Ceara,April,1,1/1/2005
2006,Ceara,April,0,1/1/2006
2007,Ceara,April,0,1/1/2007
2008,Ceara,April,0,1/1/2008
2009,Ceara,April,0,1/1/2009
2010,Ceara,April,2,1/1/2010
2011,Ceara,April,0,1/1/2011
2012,Ceara,April,19,1/1/2012
2013,Ceara,April,4,1/1/2013
2014,Ceara,April,4,1/1/2014
2015,Ceara,April,17,1/1/2015
2016,Ceara,April,8,1/1/2016
2017,Ceara,April,9,1/1/2017
1998,Ceara,April,1,1/1/1998
1999,Ceara,April,16,1/1/1999
2000,Ceara,April,16,1/1/2000
2001,Ceara,April,38,1/1/2001
2002,Ceara,April,13,1/1/2002
2003,Ceara,April,2,1/1/2003
2004,Ceara,April,1,1/1/2004
2005,Ceara,April,6,1/1/2005
2006,Ceara,April,0,1/1/2006
2007,Ceara,April,1,1/1/2007
2008,Ceara,April,1,1/1/2008
2009,Ceara,April,0,1/1/2009
2010,Ceara,April,3,1/1/2010
2011,Ceara,April,5,1/1/2011
2012,Ceara,April,28,1/1/2012
2013,Ceara,April,5,1/1/2013
2014,Ceara,April,19,1/1/2014
2015,Ceara,April,22,1/1/2015
2016,Ceara,April,45,1/1/2016
2017,Ceara,April,23,1/1/2017
1998,Ceara,April,76,1/1/1998
1999,Ceara,April,83,1/1/1999
2000,Ceara,April,18,1/1/2000
2001,Ceara,April,146,1/1/2001
2002,Ceara,April,12,1/1/2002
2003,Ceara,April,14,1/1/2003
2004,Ceara,April,16,1/1/2004
2005,Ceara,April,14,1/1/2005
2006,Ceara,April,1,1/1/2006
2007,Ceara,April,11,1/1/2007
2008,Ceara,April,3,1/1/2008
2009,Ceara,April,7,1/1/2009
2010,Ceara,April,44,1/1/2010
2011,Ceara,April,18,1/1/2011
2012,Ceara,April,50,1/1/2012
2013,Ceara,April,4,1/1/2013
2014,Ceara,April,47,1/1/2014
2015,Ceara,April,25,1/1/2015
2016,Ceara,April,124,1/1/2016
2017,Ceara,April,26,1/1/2017
1998,Ceara,April,93,1/1/1998
1999,Ceara,April,131,1/1/1999
2000,Ceara,April,79,1/1/2000
2001,Ceara,April,219,1/1/2001
2002,Ceara,April,111,1/1/2002
2003,Ceara,April,109,1/1/2003
2004,Ceara,April,61,1/1/2004
2005,Ceara,April,51,1/1/2005
2006,Ceara,April,50,1/1/2006
2007,Ceara,April,182,1/1/2007
2008,Ceara,April,32,1/1/2008
2009,Ceara,April,26,1/1/2009
2010,Ceara,April,202,1/1/2010
2011,Ceara,April,53,1/1/2011
2012,Ceara,April,278,1/1/2012
2013,Ceara,April,32,1/1/2013
2014,Ceara,April,155,1/1/2014
2015,Ceara,April,127,1/1/2015
2016,Ceara,April,293,1/1/2016
2017,Ceara,April,121,1/1/2017
1998,Ceara,April,590,1/1/1998
1999,Ceara,April,124,1/1/1999
2000,Ceara,April,127,1/1/2000
2001,Ceara,April,801,1/1/2001
2002,Ceara,April,172,1/1/2002
2003,Ceara,April,384,1/1/2003
2004,Ceara,April,144,1/1/2004
2005,Ceara,April,185,1/1/2005
2006,Ceara,April,237,1/1/2006
2007,Ceara,April,241,1/1/2007
2008,Ceara,April,177,1/1/2008
2009,Ceara,April,101,1/1/2009
2010,Ceara,April,357,1/1/2010
2011,Ceara,April,239,1/1/2011
2012,Ceara,April,609,1/1/2012
2013,Ceara,April,177,1/1/2013
2014,Ceara,April,155,1/1/2014
2015,Ceara,April,214,1/1/2015
2016,Ceara,April,370,1/1/2016
2017,Ceara,April,505,1/1/2017
1998,Ceara,April,1.014,1/1/1998
1999,Ceara,April,309,1/1/1999
2000,Ceara,April,875,1/1/2000
2001,Ceara,April,2.045,1/1/2001
2002,Ceara,April,1.606,1/1/2002
2003,Ceara,April,1.761,1/1/2003
2004,Ceara,April,1.217,1/1/2004
2005,Ceara,April,1.378,1/1/2005
2006,Ceara,April,581,1/1/2006
2007,Ceara,April,964,1/1/2007
2008,Ceara,April,816,1/1/2008
2009,Ceara,April,435,1/1/2009
2010,Ceara,April,502,1/1/2010
2011,Ceara,April,415,1/1/2011
2012,Ceara,April,1.104,1/1/2012
2013,Ceara,April,466,1/1/2013
2014,Ceara,April,517,1/1/2014
2015,Ceara,April,658,1/1/2015
2016,Ceara,April,1.31,1/1/2016
2017,Ceara,April,949,1/1/2017
1998,Ceara,April,575,1/1/1998
1999,Ceara,April,524,1/1/1999
2000,Ceara,April,669,1/1/2000
2001,Ceara,April,2.456,1/1/2001
2002,Ceara,April,2.715,1/1/2002
2003,Ceara,April,3.327,1/1/2003
2004,Ceara,April,2.9,1/1/2004
2005,Ceara,April,2.483,1/1/2005
2006,Ceara,April,1.012,1/1/2006
2007,Ceara,April,1.443,1/1/2007
2008,Ceara,April,1.753,1/1/2008
2009,Ceara,April,1.653,1/1/2009
2010,Ceara,April,1.652,1/1/2010
2011,Ceara,April,1.561,1/1/2011
2012,Ceara,April,995,1/1/2012
2013,Ceara,April,1.081,1/1/2013
2014,Ceara,April,829,1/1/2014
2015,Ceara,April,1.081,1/1/2015
2016,Ceara,April,1.328,1/1/2016
2017,Ceara,April,812,1/1/2017
1998,Ceara,April,276,1/1/1998
1999,Ceara,April,397,1/1/1999
2000,Ceara,April,389,1/1/2000
2001,Ceara,April,545,1/1/2001
2002,Ceara,April,1.787,1/1/2002
2003,Ceara,April,2.436,1/1/2003
2004,Ceara,April,3.158,1/1/2004
2005,Ceara,April,1.36,1/1/2005
2006,Ceara,April,1.161,1/1/2006
2007,Ceara,April,1.177,1/1/2007
2008,Ceara,April,1.655,1/1/2008
2009,Ceara,April,1.987,1/1/2009
2010,Ceara,April,578,1/1/2010
2011,Ceara,April,1.441,1/1/2011
2012,Ceara,April,631,1/1/2012
2013,Ceara,April,956,1/1/2013
2014,Ceara,April,643,1/1/2014
2015,Ceara,April,1.021,1/1/2015
2016,Ceara,April,819,1/1/2016
1998,Distrito Federal,April,0,1/1/1998
1999,Distrito Federal,April,0,1/1/1999
2000,Distrito Federal,April,0,1/1/2000
2001,Distrito Federal,April,0,1/1/2001
2002,Distrito Federal,April,0,1/1/2002
2003,Distrito Federal,April,0,1/1/2003
2004,Distrito Federal,April,0,1/1/2004
